schema_version, v4
gender, v4 
document_type, v4 
address_type, v4 
payment_status, v4 
state, v4 
city, v4 
currency, v4
general_status, v4 
contract_status, v4 
state_machine_transitions, v4 
status_reason, v4 
sys_group, v4 
sys_program, v4 
sys_group_program, v4 
sys_preference, v4 
subsidiary, v4 
sys_unit, v4 
sys_user, v4 
sys_user_group, v4 
sys_user_program, v4 
sys_user_unit, v4 
address, v4 
entity_address, v4
document, v4 
entity_document, v4
company, v4
user_company_access, v4
entity_sys_user, v4
partner_type, v4
account_type, v4
region, v4
specialty, v4 
partner, v4
partner_bank_account, v4
category, v4 
group_batch, v4 
group_class, v4 
contract, v4 
contract_version, v4
contract_covers, v4
contract_config_billing, v4
contract_events, v4
contract_status_history, v4 
contract_active, v4 
beneficiary, v4
service_type, v4 
performed_service, v4 
service_funeral, v4 
death_event, v4
membership_card, v4 
equipament_rental, v4 
addendum, v4 
age_addendum, v4 
contract_addendum, v4 
contract_charge, v4
charge, v4 
prorated_service, v4
bank_slip, v4 
ordpgrc, v4 
payment_receipt, v4 
batch_chk, v4 
batch_detail, v4 
billing_cycle, v4
contract_billing, v4
payment_plan, v4
payment_plan_installment, v4
payment_transaction, v4
billing_rule, v4
billing_rule_application, v4
medical_foward, v4 
account, v4
cep_cache, v4 
api_error, v4 
audit_log, v4 
